Stall ID,Item Name,Price,Durability,Compatibility
STALL-004,Nano Filter,434,53,0.9
STALL-186,Solar Filter,1031,62,0.65
STALL-153,Solar Core,394,98,0.99
STALL-047,Quantum Core,854,51,0.8
STALL-038,Cyber Relay,1494,54,0.79
STALL-143,Neutron Shield,285,93,0.87
STALL-191,Plasma Matrix,1369,76,0.91
STALL-021,Quantum Relay,736,81,0.83
STALL-057,Solar Shield,1391,70,0.56
STALL-117,Solar Relay,1360,57,0.67
STALL-181,Plasma Relay,629,87,0.96
STALL-046,Quantum Matrix,120,57,0.61
STALL-142,Hyper Shield,1010,99,0.69
STALL-145,Ion Filter,966,52,0.72
STALL-039,Ion Matrix,893,93,0.72
STALL-137,Ion Core,199,52,0.81
STALL-099,Neutron Lens,851,71,0.97
STALL-077,Solar Shield,577,55,0.62
STALL-115,Neutron Relay,1421,51,0.56
STALL-134,Nano Shield,1039,72,0.6
STALL-151,Ion Filter,625,93,0.94
STALL-187,Cyber Relay,433,51,0.82
STALL-091,Neutron Shield,101,87,0.64
STALL-098,Neutron Shield,474,66,0.91
STALL-120,Ion Core,392,84,0.93
STALL-046,Hyper Relay,936,83,0.92
STALL-038,Solar Drive,1104,72,0.96
STALL-142,Cyber Emitter,652,79,0.63
STALL-100,Nano Shield,417,57,0.88
STALL-072,Neutron Matrix,480,71,0.73
STALL-190,Neutron Lens,113,93,0.92
STALL-035,Quantum Relay,603,85,0.86
STALL-147,Ion Emitter,330,54,0.89
STALL-030,Ion Relay,1207,62,0.83
STALL-078,Solar Core,229,78,0.59
STALL-084,Cyber Matrix,937,80,0.77
STALL-113,Hyper Core,1268,96,0.99
STALL-025,Nano Shield,990,65,0.97
STALL-168,Plasma Lens,127,91,0.52
STALL-088,Nano Shield,165,79,0.58
STALL-014,Cyber Filter,1286,65,0.57
STALL-154,Quantum Relay,1352,61,0.86
STALL-102,Neutron Shield,360,66,0.91
STALL-150,Quantum Filter,559,65,0.61
STALL-176,Neutron Relay,400,61,0.75
STALL-083,Nano Matrix,1018,57,0.92
STALL-110,Quantum Lens,1426,69,0.87
STALL-179,Solar Drive,386,52,0.77
STALL-131,Neutron Relay,1133,65,0.8
STALL-170,Hyper Emitter,729,79,0.75
STALL-019,Nano Filter,369,94,0.65
STALL-028,Plasma Matrix,691,72,0.78
STALL-173,Hyper Matrix,943,77,0.84
STALL-071,Cyber Core,961,89,0.94
STALL-063,Solar Lens,1484,54,0.82
STALL-073,Cyber Relay,1380,69,0.88
STALL-124,Plasma Shield,232,89,0.58
STALL-119,Hyper Core,1399,93,0.73
STALL-121,Ion Relay,1071,50,0.5
STALL-019,Cyber Matrix,612,79,0.62
STALL-175,Plasma Filter,412,70,0.86
STALL-142,Plasma Drive,675,69,1.0
STALL-120,Nano Filter,985,55,0.55
STALL-166,Solar Filter,1407,71,0.7
STALL-181,Quantum Emitter,1244,67,0.9
STALL-061,Quantum Filter,1230,57,0.6
STALL-164,Nano Core,786,88,0.78
STALL-168,Solar Core,1327,81,0.87
STALL-030,Nano Filter,264,82,0.81
STALL-009,Ion Core,404,65,0.59
STALL-064,Ion Core,255,61,0.68
STALL-161,Plasma Lens,1490,87,0.89
STALL-120,Cyber Emitter,719,83,0.78
STALL-052,Neutron Shield,1374,63,0.5
STALL-089,Nano Matrix,1056,85,0.88
STALL-142,Nano Drive,433,82,0.52
STALL-053,Cyber Filter,1068,72,0.87
STALL-187,Ion Lens,610,99,0.6
STALL-078,Ion Filter,1416,94,0.98
STALL-041,Solar Drive,1143,51,0.68
